tournament_name,leagueid,matches_count
RES - Regional Series EU #3,16707,45
Road To The International 2025 - Regional Qualifiers Eastern Europe,18304,44
Road To The International 2025 - Regional Qualifiers South America,18305,44
Road To The International 2025 - Regional Qualifiers Southeast Asia,18308,43
SLAM II,17417,43
BLAST SLAM I,17414,43
SLAM III,17418,43
Road To The International 2024 - Regional Qualifiers Eastern Europe,16839,42
CCT Dota 2 Series 1,16869,42
RES - Regional Series EU #1,16343,42
Snake Trophy 2,18331,42
RES - Regional Series SEA #3,16705,41
CCT Dota 2 Season 2 South America Series 1,18799,40
FISSURE Tournament,16730,40
PGL Wallachia Season #4 EEU Closed Qualifiers,17774,39
PGL Wallachia Season #6 EEU Closed Qualifiers,18747,39
Road To The International 2025 - Regional Qualifiers Western Europe,18309,39
Road To The International 2024 - Regional Qualifiers Western Europe,16842,38
PGL Wallachia Season #2 EEU Closed Qualifiers,17011,38
CCT Dota 2 Season 2 Series 1,18242,38
PGL Wallachia Season #6 AMER Closed Qualifiers,18751,38
MESA Invitational,17326,38
PGL Wallachia Season #6 SEA Closed Qualifiers,18750,37
PGL Wallachia Season #4 SEA Closed Qualifiers,17776,37
PGL Wallachia Season #4 WEU Closed Qualifiers,17775,37
Elite League - Closed Qualifier Eastern Europe,16404,37
PGL Wallachia Season #1 EEU Closed Qualifiers,16480,35
BetBoom Dacha Belgrade 2024 - Closed Qualifiers - SEA,17108,35
FISSURE PLAYGROUND 2 - Closed Qualifiers - Americas,18668,35
BetBoom Dacha - Closed Qualifier - EEU,16093,35
FISSURE PLAYGROUND - Closed Qualifiers - SEA,17526,35
FISSURE PLAYGROUND - Closed Qualifiers - WEU,17524,35
Snake Trophy,18893,35
FISSURE PLAYGROUND 2 - Closed Qualifiers - WEU+EEU,18670,34
PGL Wallachia Season #4 AMER Closed Qualifiers,17778,34
FISSURE PLAYGROUND 2 - Closed Qualifiers - China,18667,34
FISSURE PLAYGROUND - Closed Qualifiers - EEU,17523,34
PGL Wallachia Season #6 WEU Closed Qualifiers,18748,33
Americas Convergence Series 1,18498,32
BetBoom Dacha Belgrade 2024 - Closed Qualifiers - EEU,17092,32
RES Unchained - A Blast Dota Slam V Qualifier SEA,18762,32
BLAST Slam IV: China Closed Qualifier,18706,32
FISSURE PLAYGROUND 2 - Closed Qualifiers - EEU,18038,31
